INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Abda Silva', 'AbdaSilva1@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Abigail Santos', 'AbigailSantos@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Acácia Silva', 'AcáciaSilva@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Adalgisa  Santos', 'AdalgisaSantos@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Adeilce Silva', 'AdeilceSilva@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Adelaide Santos', 'AdelaideSantos@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Adélia Silva', 'AdéliaSilva@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Adriana Santos', 'AdrianaSantos@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Agnes Silva', 'AgnesSilva@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aida Santos', 'AidaSantos@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aidée Dias', 'AidéeDias@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aime Santos', 'AimeSantos@yahoo.com.br', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aimée Dias', 'AiméeDias@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aira Santos', 'AiraSantos@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aisla Dias', 'AislaDias@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alana Santos', 'AlanaSantos@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alanis Dias', 'AlanisDias@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alaíde Santos', 'AlaídeSantos@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alba Dias', 'AlbaDias@hotmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Albertina Santos', 'AlbertinaSantos@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alcina Dias', 'AlcinaDias@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alcione Santos', 'AlcioneSantos@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aldete Dias', 'AldeteDias@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alécya', 'Alécya@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alessandra Dias', 'AlessandraDias@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alena', 'Alena@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alenis Dias', 'AlenisDias@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aléssia', 'Aléssia@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alexa', 'Alexa@yahoo.com.br', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alexandra', 'Alexandra@gmail.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alice', 'Alice@hotmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alicia', 'Alicia@outlook.com', 'F');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Aline', 'Aline@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alison', 'Alison@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alriana', 'Alriana@gmail.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Alzira', 'Alzira@outlook.com', 'M');
INSERT INTO USUARIO(NOME, EMAIL, SEXO) VALUES('Amalia', 'Amalia@yahoo.com.br', 'F');
